Student_ID,Age,Gender,Study_Hours,Attendance(%),Test_Score,Grade
S0524,21,Female,2.7,74.0,37.0,F
S0603,19,Male,1.5,93.1,26.0,F
S0527,20,Female,6.8,97.2,88.0,A
S0032,18,Female,6.2,93.5,55.0,C
S0617,21,Male,7.4,99.2,77.0,B
S0586,21,Male,4.0,68.8,48.0,F
S0445,23,Female,5.1,77.7,37.0,F
S0733,19,Female,5.7,97.4,58.0,C
S0077,23,Male,6.5,87.4,70.0,B
S0412,22,Male,,104.8,49.0,F
S0569,18,Female,5.5,100.0,54.0,C
S0071,21,Female,4.5,74.0,39.0,F
S0676,24,Male,3.6,93.5,25.0,F
S0102,24,Female,7.2,94.0,72.0,B
S0895,18,Male,5.5,90.2,41.0,F
S0926,20,Male,3.3,80.2,28.0,F
S0630,21,Female,2.0,91.4,21.0,F
S0300,21,Male,5.6,87.6,53.0,C
S0925,23,Male,7.1,83.2,57.0,C
S0425,20,Female,5.9,79.5,71.0,B
S0097,21,Male,5.7,83.3,46.0,F
S0901,20,Female,5.3,74.0,52.0,C
S0261,19,Female,4.3,82.3,47.0,F
S0351,23,Female,6.9,83.0,66.0,B
S0529,24,Male,4.9,,51.0,C
S0695,20,Female,6.0,70.8,46.0,F
S0362,19,Female,,85.4,64.0,C
S0612,20,Male,6.8,95.0,66.0,B
S0885,24,Male,7.8,71.9,61.0,C
S0721,21,Female,2.8,80.3,37.0,F
S0487,20,Female,3.7,72.0,29.0,F
S0694,22,Male,4.7,69.7,33.0,F
S0679,21,Male,8.3,81.1,85.0,A
S0810,18,Male,3.9,74.0,40.0,F
S0409,21,Female,7.0,87.1,59.0,C
S0741,24,Female,4.4,88.3,28.0,F
S0214,24,Male,9.0,84.7,100.0,A+
S0590,22,Female,7.4,89.2,86.0,A
S0366,22,Male,3.1,90.7,27.0,F
S0200,22,Male,4.8,72.1,53.0,C
S0637,22,Female,8.6,90.4,89.0,A
S0629,20,Male,5.1,96.1,56.0,C
S0829,20,Female,5.6,81.7,62.0,C
S0353,23,Male,1.2,89.5,0.0,
S0330,18,Female,3.6,93.5,33.0,F
S0982,21,Male,4.6,95.5,41.0,F
S0838,24,Male,5.0,91.4,52.0,C
S0245,23,Female,0.8,80.6,32.0,F
S0287,23,Female,4.9,90.4,50.0,F
S0290,18,Female,5.6,,55.0,C
S0599,24,Female,6.1,85.2,62.0,C
S0762,23,Male,5.7,78.8,53.0,C
S0060,21,Female,20.0,73.2,62.0,C
S0623,22,Male,5.7,86.5,50.0,F
S0319,24,Male,3.2,,30.0,F
S0011,24,Female,,90.1,20.0,F
S0238,21,Female,4.8,76.8,61.0,C
S0332,18,Female,7.3,82.6,79.0,B
S0706,21,Male,1.1,61.7,35.0,F
S0087,21,Male,5.4,82.8,64.0,C
S0804,22,Male,6.8,80.2,62.0,C
S0175,22,Female,7.0,99.6,82.0,A
S0313,18,Female,7.6,78.0,83.0,A
S0463,20,Female,9.3,103.0,100.0,A+
S0219,18,Female,6.6,94.6,54.0,C
S0031,21,Male,4.3,89.7,36.0,F
S0548,24,Male,0.4,68.3,18.0,F
S0665,21,Female,1.6,78.3,10.0,F
S0055,18,Male,,70.9,53.0,C
S0024,21,Male,4.2,78.5,49.0,F
S0257,18,Male,5.7,81.0,58.0,C
S0451,19,Female,3.9,82.5,50.0,F
S0004,24,Male,6.4,88.4,62.0,C
S0834,24,Female,5.4,96.6,64.0,C
S0553,22,Male,1.8,78.6,10.0,F
S0639,19,Male,5.7,80.2,54.0,C
S0478,20,Female,4.3,95.0,37.0,F
S0957,20,Male,4.5,70.7,39.0,F
S0663,22,Female,6.2,95.5,47.0,F
S0519,20,Male,2.9,96.1,8.0,F
S0961,18,Male,8.0,66.1,89.0,A
S0954,19,Male,6.6,74.4,68.0,B
S0980,24,Female,10.5,95.4,100.0,A+
S0576,23,Male,7.3,69.6,72.0,B
